time_steps,model__units,model__dropout,batch_size,epochs,MAE
5,256,0.2,16,10,1425.4742564006024
6,256,0.2,64,10,1480.380357366968
7,256,0.2,16,10,1453.960498242972
8,256,0.2,16,10,1616.0697555848394
9,256,0.2,16,10,1275.1107712098394
10,256,0.2,16,10,1525.574226609658
11,256,0.2,32,10,1605.8147793008047
12,256,0.2,16,10,1163.8428775779678
13,256,0.2,32,10,2758.788803131288
14,256,0.2,32,10,1346.5589867328974
15,256,0.2,16,10,2620.4924395161293
16,256,0.2,16,10,1357.7376905871977
17,256,0.2,16,10,1415.836417905746
18,256,0.2,16,10,1295.993636592742
19,256,0.2,16,10,1233.234422253024
20,256,0.2,64,10,1697.0825126262623
21,256,0.2,32,10,1399.6209674873735
22,256,0.2,32,10,1740.1627919823231
23,256,0.2,32,10,1800.0474431818182
24,256,0.2,16,10,1130.426570391414
25,256,0.2,16,10,1820.5046890814776
26,256,0.2,16,10,1602.2915533274293
27,256,0.2,64,10,1730.5210652834007
28,256,0.2,16,10,1204.0312104630566
29,256,0.2,16,10,1095.5525841346157
30,256,0.2,16,10,1108.949123668864
31,256,0.2,16,10,1390.5695360040568
32,256,0.2,16,10,1419.9167564655172
33,256,0.2,32,10,2240.6624144269776
34,256,0.2,32,10,1285.3333703093306
35,256,0.2,16,10,1272.14059324187
36,256,0.2,32,10,1617.0048272357724
37,256,0.2,32,10,1489.1661744156504
38,256,0.2,64,10,1480.4369362931911
39,256,0.2,16,10,1149.6504779598577
40,256,0.2,32,10,1751.3404722505093
41,256,0.2,16,10,1308.2501750254582
42,256,0.2,32,10,2080.9121053971485
43,256,0.2,16,10,1501.5542976705703
44,256,0.2,16,10,1151.3006937372709
45,256,0.2,32,10,1397.2352917729593
46,256,0.2,32,10,1320.3124043367347
47,256,0.2,16,10,1332.9798947704082
48,256,0.2,32,10,2099.232063137755
49,256,0.2,64,10,1683.3742107780613
50,256,0.2,32,10,1390.2215139314928
